"PolicyDefinitionName","DisplayName","Mode","PolicyType","Description","Metadata"
,"There must not be an UDR on any subnet in an ExpressRoute-connected vNet","All","Custom","Using UDRs on any subnet of an ERvNet can lead to security exposure for corpnet traffic. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to the following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-08-24T16:14:35.00849Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:21:41.7117919Z}"
,"Microsoft Defender for App Service should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:20:06.1567955Z}"
,"Microsoft Defender for Containers should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:20:59.0819596Z}"
,"Microsoft Defender for Key Vault should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:23:31.3309002Z}"
,"Microsoft Defender for Resource Manager should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:24:08.3295145Z}"
,"Microsoft Defender for Servers should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:25:47.1104212Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-06-21T17:13:09.2662363Z}"
,"Microsoft Defender for Storage should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:26:20.8880633Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-06-21T17:08:41.841843Z}"
,"Microsoft Defender for SQL servers on machines should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:27:34.0566117Z}"
,"Microsoft Defender for Azure SQL Databases should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:27:43.2364925Z}"
,"Microsoft Defender for Open-source relational databases should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:27:53.3452341Z}"
,"Microsoft Defender for Azure Cosmos DB should be enabled on Subscriptions","All","Custom","MDC is a Cloud Security Posture Management and Cloud Workload Protection Platform for all Azure/on-premises/multicloud resources. It fills vital needs as you manage the security of your resources & workloads in the cloud & on-premises. For more info, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to the policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-07T16:28:00.0986963Z}"
,"Enable Security Logging in Azure AI Search","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:45:13.2596276Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:55:27.5176977Z}"
,"Enable Security Logging in Azure Batch Accounts","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:46:00.192501Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:55:43.1359964Z}"
,"Enable Security Logging in Azure Data Factories","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:46:29.9110327Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:56:59.9622293Z}"
