"ResourceGroupName","Location","ProvisioningState","Tags","ManagedBy"
"Default-ActivityLogAlerts","eastus","Succeeded",,
"AOAIRG","eastus","Succeeded",,
"vmjp","japaneast","Succeeded","System.Collections.Hashtable",
"DefaultResourceGroup-EJP","japaneast","Succeeded","System.Collections.Hashtable",
"analyzeazurebillRG","japaneast","Succeeded",,
"LLMLab","japaneast","Succeeded","System.Collections.Hashtable",
"DefaultResourceGroup-SEA","southeastasia","Succeeded","System.Collections.Hashtable",
"testdevopsrg","eastasia","Succeeded",,
"TMRG","eastasia","Succeeded",,
"AIAgentLab","eastasia","Succeeded","System.Collections.Hashtable",
"AlertActionRG","eastus","Succeeded",,
"NetworkWatcherRG","westus3","Succeeded",,
"TechConnectRG","eastus","Succeeded","System.Collections.Hashtable",
"devvm","westus3","Succeeded","System.Collections.Hashtable",
"DefaultResourceGroup-WUS2","westus2","Succeeded","System.Collections.Hashtable",
"weishi-rg","centralus","Succeeded",,
"DefaultResourceGroup-centralus","centralus","Succeeded",,
