"ResourceName","ResourceType","ResourceGroupName","Location","SubscriptionId","Tags"
"BillAPIEmailAlertAction","microsoft.insights/actiongroups","AlertActionRG","global","58aa6c07-2c69-4922-9196-19aed3771a8e",
"BillingAPIAlertRule","microsoft.insights/activityLogAlerts","Default-ActivityLogAlerts","global","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureaihub8666279378","Microsoft.Storage/storageAccounts","AOAIRG","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureaihub0567202597","Microsoft.KeyVault/vaults","AOAIRG","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureaihub","Microsoft.MachineLearningServices/workspaces","AOAIRG","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureaihub8666279378-5248b165-15d1-4f6a-ba2e-e56a149bc5fc","Microsoft.EventGrid/systemTopics","aoairg","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e",
"weishi-8456","Microsoft.MachineLearningServices/workspaces","AOAIRG","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"eauscontentsafety","Microsoft.CognitiveServices/accounts","AOAIRG","eastus","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"weishi-0333","Microsoft.MachineLearningServices/workspaces","AOAIRG","eastus2","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"testprivateendpoint","Microsoft.Network/privateEndpoints","AOAIRG","japaneast","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"testprivateendpoint-nic","Microsoft.Network/networkInterfaces","AOAIRG","japaneast","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"AISpeechjpeast","Microsoft.CognitiveServices/accounts","AOAIRG","japaneast","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"TCAOAI","Microsoft.CognitiveServices/accounts","TechConnectRG","eastus","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"weish-m8r1yx7g-swedencentral","Microsoft.CognitiveServices/accounts","aoairg","swedencentral","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"AIAgentLab","Microsoft.CognitiveServices/accounts","AOAIRG","eastus","58aa6c07-2c69-4922-9196-19aed3771a8e","System.Collections.Generic.Dictionary`2[System.String,System.String]"
